nbhd,nbhd_code,population,Pop_OBJECTID,Pop_2001_TOTAL,Pop_2001_HDB,Pop_2002_TOTAL,Pop_2002_HDB,Pop_2003_TOTAL,Pop_2003_HDB,Pop_2004_TOTAL,Pop_2004_HDB,Pop_2005_TOTAL,Pop_2005_HDB,Pop_2006_TOTAL,Pop_2006_HDB,Pop_2007_TOTAL,Pop_2007_HDB,Pop_2008_TOTAL,Pop_2008_HDB,Pop_2009_TOTAL,Pop_2009_HDB,Pop_2010_TOTAL,Pop_2010_HDB,Pop_2011_TOTAL,Pop_2011_HDB,Pop_2012_TOTAL,Pop_2012_HDB,Pop_2013_TOTAL,Pop_2013_HDB,Pop_2014_TOTAL,Pop_2014_HDB,Pop_2015_TOTAL,Pop_2015_HDB,Pop_2016_TOTAL,Pop_2016_HDB,Electricity_OBJECTID,Electricity_2005_AVRG,Electricity_2006_AVRG,Electricity_2007_AVRG,Electricity_2008_AVRG,Electricity_2009_AVRG,Electricity_2010_AVRG,Electricity_2011_AVRG,Electricity_2012_AVRG,Electricity_2013_AVRG,Electricity_2014_AVRG,Electricity_2015_AVRG,Electricity_2016_AVRG,system.index,Albedo_2003,Albedo_2004,Albedo_2005,Albedo_2006,Albedo_2007,Albedo_2008,Albedo_2009,Albedo_2010,Albedo_2011,Albedo_2012,Albedo_2013,Albedo_2014,Albedo_2015,Albedo_2016,Albedo_2017,Albedo_all,Cloudfree,ET_2003,ET_2004,ET_2006,ET_2007,ET_2008,ET_2009,ET_2010,ET_2011,ET_2012,ET_2013,ET_all_till_2014,NDVI_2003,NDVI_2004,NDVI_2005,NDVI_2006,NDVI_2007,NDVI_2008,NDVI_2009,NDVI_2010,NDVI_2011,NDVI_2012,NDVI_2013,NDVI_2014,NDVI_2015,NDVI_2016,NDVI_2017,NDVI_all,NightLight,UHI_2014,UHI_2015,UHI_2016,UHI_2017,FL_2001,FL_2002,FL_2003,FL_2004,FL_2005,FL_2006,FL_2007,FL_2008,FL_2009,FL_2010,FL_2011,FL_2012,FL_2013,FL_2014,FL_2015,FL_2016,UHI_2003,UHI_2004,UHI_2005,UHI_2006,UHI_2007,UHI_2008,UHI_2009,UHI_2010,UHI_2011,UHI_2012,UHI_2013,UHI_2014_1,UHI_2015_1,UHI_2016_1,UHI_2017_1,PM2.5_1998,PM2.5_1999,PM2.5_2000,PM2.5_2001,PM2.5_2002,PM2.5_2003,PM2.5_2004,PM2.5_2005,PM2.5_2006,PM2.5_2007,PM2.5_2008,PM2.5_2009,PM2.5_2010,PM2.5_2011,PM2.5_2012,PM2.5_2013,PM2.5_2014,PM2.5_2015
SINGAPORE RIVER,singapore_024,2840,44,1040,130,1010,40,940,0,1020,0,1200,0,1250,0,1340,0,1350,0,1660,0,2000,0,2150,0,2340,0,2540,0,2580,0,2720,0,2840,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0000bc2f81a524e434c1,0,0.100400443,0.124263578,0.105444568,0.128908594,0.135222222,0.12275,0.111756133,0.109687447,0.123290476,0.12443869,0.109933333,0.112582869,NA,NA,0.126750775,0.115611262,3.592297477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3182.654471,3614.172354,3567.187424,3251.501992,3532.364959,3362.601074,3545.675486,3218.102893,3169.769894,3262.472119,2983.173567,3388.423571,3109.416594,3317.431838,2221.297211,3307.732522,109.6881684,18.58306447,16.91453161,17.98725016,14.82931814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.82390024,17.3272467,17.17682697,16.9856804,17.26964093,16.37437049,17.11378893,15.85746836,16.74998524,17.62782762,16.8241967,18.58306447,16.91453161,17.98725016,14.82931814,,,,,,,,,,,,,,,,,
QUEENSTOWN,singapore_025,99350,23,96000,83120,95090,82130,92570,79440,92800,79030,92970,78670,94030,79230,95100,80050,96140,81260,98490,83120,98500,83000,97830,82300,97830,81630,98970,82650,98730,82480,98050,81870,99350,83350,35,289.8,291.4,292.1,287.9,302.8,303.7,292.9,295.6,298.4,304.2,303.8,312.6,00003cf167b4f2cfcd03,0,0.114683258,0.110124651,0.119834325,0.114042931,0.117084441,0.113476016,0.108096131,0.121505662,0.116286787,0.120426889,0.113682784,0.131332802,0.116519089,0.111957683,0.112667948,0.116236027,3.589399165,9.009782609,25.98695652,24.34673913,25.1826087,23.70434783,26.24782609,23.77391304,24.05543478,23.51086957,15.76847826,21.63301394,3740.780945,3561.467717,3707.258415,3218.368261,3692.085484,3324.704192,3721.215016,3364.46183,3411.960744,3496.999473,3421.791188,3495.777463,3482.205271,3467.605137,2616.404133,3478.549748,78.0839417,14.0941111,13.44932055,12.1905521,11.81888544,0.04282044,0.228375678,0,0.114187839,0.813588353,0.214102198,0.02854696,0.128461319,0.456751356,0.199828718,0,0.342563517,0.04282044,0.385383957,0.271196118,0.471024836,14.04532886,13.16241966,13.78880259,13.17927032,14.20180697,13.68734047,14.04518683,13.90610054,13.89114801,13.73332724,14.15270536,14.0941111,13.44932055,12.1905521,11.81888544,8.077419355,9.077419355,10,13.07741935,14,14,14,14,21.07741935,13.07741935,14.07741935,20,12.07741935,11,16.07741935,14.07741935,13
NORTH-EASTERN ISLANDS,singapore_026,60,2,120,0,100,0,100,0,90,0,90,0,70,0,70,0,70,0,60,0,60,0,60,0,60,0,60,0,50,0,60,0,60,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0000901d18180fd75fa0,0,0.091156147,0.09326989,0.092818907,0.087719506,0.087685307,0.090847979,0.08458165099999999,0.083010701,0.085615922,0.083431826,0.084844132,0.09029498,0.085610548,0.082270402,0.087604589,0.086196555,3.445457184,28.86228968,29.25823894,29.85755644,28.50169903,28.48323923,30.21767902,28.5287599,29.21218715,29.07128299,27.59662865,28.97611008,4072.099473,4546.545489,4833.642804,4769.564753,5232.492716,4750.392566,4885.673396,5088.541329,4884.584792,4780.161725,5245.809835,5251.411353,5655.568431,5498.435942,5049.124624,4497.041305,2.961299432,1.489377883,1.843857776,2.035943371,1.965151701,0.897045511,1.51427866,0.005486517,0.150879214,0.395029216,0.03566236,0.002743258,0.008229775,0.024689326,0.016459551,0.027432584,0.032919101,0.010973034,0.172825282,0.063094944,0.054865169,3.288352096,2.88117414,3.087616453,2.592628642,2.364096488,2.042626199,2.415012314,1.618295078,1.704794867,1.590356574,2.341215766,1.489377883,1.843857776,2.035943371,1.965151701,8.021045609,9,9,11.22022077,12.12421155,11.94365599,12.20257157,12.72592188,15.89525716,11.66769772,12.50363901,18.17430859,10.25970403,9.023471616,13.9100558,12.49035662,11.0373605
BUKIT PANJANG,singapore_027,141380,11,107150,94850,112190,99150,114230,101080,117700,104140,119720,105890,120910,106900,122590,108270,124660,110150,127500,112120,128730,112900,129400,113460,130960,114860,131490,115630,133020,116360,139030,120000,141380,121800,7,379.4,378.4,379.1,373.5,390.2,395.8,380.8,378.3,380.9,377.1,371.4,383.6,0000320b91fa1b5913f3,0,0.12852104,0.129078995,0.139293896,0.117621144,0.13169848,0.126908161,0.128669818,0.124931832,0.127078783,0.12425196,0.122363491,0.142376493,0.127348812,0.128217668,0.121181732,0.128719818,3.541828934,24.41346816,19.62644136,22.82225588,21.81169122,21.22237269,24.34743407,16.7794488,22.28340065,24.67937257,22.70196009,22.08904034,4886.817978,4656.945798,5245.697364,4814.746543,4997.083758,5373.556431,5385.864354,4941.268414,4617.600286,5088.548229,4886.505992,4478.993415,4790.293003,4992.48176,3941.590221,4915.154494,36.33541393,16.13698697,15.04035311,14.32725449,14.92376453,0.104493208,0.052246604,0.087077673,0.104493208,0.034831069,0.383141762,0.052246604,0,0.017415535,0.296064089,0.139324277,0.26123302,0.78369906,1.567398119,0.74886799,1.253918495,14.42855071,14.1570043,14.52752249,13.45782107,14.66479623,14.26803578,14.68821839,15.42910522,14.87756581,15.25776159,14.58080975,16.13698697,15.04035311,14.32725449,14.92376453,8,9,9,13,13,13.9278306,14,14,20,13,14,19.5920484,12,10,16,14,13
TANGLIN,singapore_028,19650,33,14530,560,15110,570,14470,550,15120,540,15940,530,16630,540,16840,550,16330,550,16690,570,17290,580,17510,580,17780,560,18090,550,18390,530,19000,520,19650,490,48,448.8,444,438.5,419.4,440.6,448.4,427.5,434.7,415.9,416.8,413.1,411.6,0000b391b87ac6f1d5b8,0,0.120309866,0.129013607,0.130743377,0.121515659,0.126044763,0.13525,0.118532282,0.121882865,0.125166667,0.120287275,0.108105042,0.121366123,0.105592796,0.120844703,0.121788813,0.122348309,3.546675192,23.72608696,8.334782609,8.856521739,7.939130435,23.38478261,24.12173913,NA,8.713043478,22.15869565,23.70434783,16.31060606,4905.024975,4719.507795,5172.337151,4361.097854,5172.132014,4640.928233,5075.76753,4676.312221,4642.848015,4816.7853,4504.400222,4731.381119,4551.79206,4908.290937,3368.949974,4767.311244,38.52324967,18.11554992,16.69622832,15.42054603,14.02827437,0,0.226073851,0.100477267,0.050238634,0.100477267,0.92941472,0.351670435,0.025119317,1.909068073,0.125596584,0.050238634,0.125596584,0,0.879176086,1.255965838,0.125596584,15.90397012,15.35684129,16.07725936,15.1781507,16.12004146,15.56221127,16.2548043,15.84154512,16.17107238,15.85145795,16.30017131,18.11554992,16.69622832,15.42054603,14.02827437,9,10,10,14,14,14,14.27807487,14.27807487,21,14,15,20.27807487,13,11,16.27807487,15,13
GEYLANG,singapore_029,115890,13,116440,97280,115210,95800,112280,93390,112060,92740,113250,92480,114880,93050,117140,94370,118390,95540,120050,96630,120690,96790,120120,94390,119300,93690,119530,93440,119130,92570,116960,90190,115890,89040,15,332.4,327.3,331.5,325.9,340.1,345,336.3,339.9,341.8,344.6,348.5,356.3,0000a674f8943beafe0e,0,0.136857543,0.129778075,0.143066934,0.141489761,0.145448827,0.134162551,0.132498656,0.141709412,0.142343155,0.136962225,0.134378232,0.14421812,0.131646246,0.044,0.132138604,0.135948264,3.806407635,12.43576438,8.541023843,21.87186536,22.41157083,8.592748948,12.66746143,9.05,8.597826087,21.61385694,12.20646564,15.21724707,2921.697037,2875.100222,3020.601903,2789.999769,3156.029857,3074.734454,3147.76055,3127.256815,2831.267972,3030.943909,2867.538384,3041.274628,3037.560185,2938.122539,2351.46773,2984.246396,76.3513939,19.99341937,20.13198248,20.8099008,18.17630177,0,0,0.125786164,0.628930818,0.628930818,0.251572327,0.251572327,0.125786164,0.377358491,0,0.251572327,0.125786164,0,0,0,0.125786164,19.87792001,18.8690958,19.00277496,18.46671447,18.96904841,19.87312895,19.30975088,19.60906097,19.60599172,19.21964654,19.55879631,19.99341937,20.13198248,20.8099008,18.17630177,9,10,10,13,14,14,14,14,20,13,14,20,12,11,16,14,13
PUNGGOL,singapore_030,130380,22,710,490,12860,12640,24450,24250,36360,36140,42500,42260,46860,46630,51060,50820,54560,54340,56950,56740,59390,59130,64530,64260,74730,74460,88070,87610,98140,96200,109750,105740,130380,120370,34,389.6,389.2,393.9,392.3,409.6,420.9,376.5,359.1,363.8,368.8,358.8,371.5,00005d3957ec9ebc379c,0,0.150284478,0.15335685,0.146668063,0.13148062,0.135549538,0.140706724,0.137695678,0.154215524,0.111769278,0.133251835,0.128326298,0.14222088,0.133974425,0.128142666,0.114653121,0.140248021,3.538143829,8.091516437,8.40125486,13.86629551,7.843354542,13.12451396,8.295687522,8.413043478,NA,21.86633086,20.32693531,13.217031,3146.013654,3446.463285,3943.462833,3958.59075,4673.918084,4040.659472,3708.987849,3170.913931,3561.058401,3659.587794,3815.73234,4076.561288,3859.047752,3808.395487,2594.623657,3727.785446,46.00859409,11.2059636,11.46005303,11.72435213,11.13810219,0.932944606,1.807580175,0,0.058309038,0.408163265,0,0.29154519,0,5.714285714,1.690962099,2.973760933,0.233236152,0.116618076,7.113702624,4.373177843,6.297376093,12.31184594,10.23517756,11.85757154,11.14894726,11.35965141,10.5508145,10.88237456,11.54359744,10.17644144,10.81575407,10.81896252,11.2059636,11.46005303,11.72435213,11.13810219,8.804956897,9.137392241,9.547413793,13,13,13,13.41002155,14,18.68480603,13,14,19.25323276,11.8669181,10,15,14,12
BUKIT TIMAH,singapore_031,75640,12,65890,10490,66550,10460,64150,8180,65650,8060,67490,8010,69660,8030,71160,8140,69620,8130,69280,8170,70310,8130,70420,8020,71910,7920,73130,7840,73810,7760,74470,7550,75640,7530,8,409.1,404.3,404.6,387.3,400.6,405.9,389.2,393.4,395.2,395.9,399.6,399.2,0000fd67100b091bbc12,0,0.129416073,0.126008143,0.141002745,0.130513315,0.131090173,0.135910878,0.126843424,0.133134311,0.138009417,0.127398127,0.126452894,0.144007,0.129073692,0.127075875,0.131689206,0.130098395,3.672846359,28.01921336,28.06885199,29.23169386,27.08887177,26.79869527,28.48330671,26.60537487,27.91791624,26.83388299,26.1710259,26.9454969,4780.267135,4836.608174,5223.944503,4562.147048,5244.89784,4927.753137,5257.217681,4890.151016,4654.495202,4948.257771,4789.307833,4726.616534,4695.559927,4999.91898,4090.007016,4880.726525,31.95912114,16.46743888,15.91520533,14.92820512,15.04005077,0.014526438,0.46484602,0.014526438,0.058105752,0.377687391,0.276002324,0.072632191,0,0.392213829,0.290528762,0.188843696,0.363160953,0.043579314,0.69726903,0.493898896,0.174317257,15.08249749,14.57722629,15.19528428,14.36010657,15.60756111,14.67897843,15.44536143,15.92046268,15.96909627,15.16683541,15.39183615,16.46743888,15.91520533,14.92820512,15.04005077,8.539742619,9.668433005,9.742871562,13.60408781,13.74287156,14.25031542,14.46429473,14.47539743,21.05147615,13.47539743,14.53974262,20.39994953,12.47539743,10.74287156,16.46429473,14.60408781,13.29043654
TUAS,singapore_032,70,48,40,0,50,0,30,0,30,0,30,0,40,0,40,0,50,0,70,0,60,0,50,0,50,0,70,0,60,0,70,0,70,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0000a7b3f1e4788d2c64,0,0.097222671,0.099252897,0.104429912,0.09636025600000001,0.090127076,0.095855172,0.09956037500000001,0.08573102,0.1077711,0.102108867,0.110086101,0.120434289,0.111661209,0.088067121,0.08589988,0.100277914,3.364669055,22.49123402,22.65408568,23.21303389,23.01170077,21.51963875,22.52304987,22.05563299,22.06438299,21.56077685,20.76179348,22.14435566,2339.337301,2401.542105,2909.592226,2371.788832,2733.426771,2709.498997,2743.915929,2878.479425,2941.167635,2625.116738,2607.157587,2767.753938,2578.205811,2803.502827,2732.001758,2509.924221,50.31358449,5.738707425,6.860238251,7.247884672,7.267602579,0,0.25220681,0.063051702,1.57629256,1.57629256,2.143757881,0.819672131,0,0.756620429,0.378310214,0.126103405,0.882723834,0.126103405,3.089533417,5.233291299,5.233291299,5.904578999,6.342215159,5.676278364,5.786715028,5.800468959,5.577440771,5.491379027,8.49145795,7.228554376,7.540431397,7.176553199,5.738707425,6.860238251,7.247884672,7.267602579,8,9,9,13.05667441,13.16821585,14,14,13.91311645,21.04479731,13.05667441,14.16821585,20.01652466,12.13529564,11,16.08959463,14.00826233,13.00826233
LIM CHU KANG,singapore_033,100,19,110,50,60,0,60,0,60,0,60,0,50,0,60,0,70,0,90,0,90,0,90,0,90,0,100,0,90,0,90,0,100,0,20,0,0,0,0,0,0,0,0,0,0,0,0,000076cef026ffbc0467,0,0.114451794,0.110442614,0.113146717,0.106715527,0.110465676,0.108027681,0.109719013,0.10900271,0.108666438,0.106177307,0.107512706,0.10982504,0.1095864,0.102392662,0.113116664,0.109247824,3.249078579,26.24078195,26.04508718,26.68964414,25.61665942,24.290097,25.78999357,25.51601533,25.40298229,24.93660014,23.42203119,25.3077399,4588.128579,4498.242476,4879.652549,4580.622522,4819.958243,4592.159962,4868.504913,4604.01573,4506.418322,4958.26634,4548.320568,4378.91338,4237.364748,4960.151559,4211.59341,4636.970039,7.751283095,7.464613994,7.67788501,7.415361801,7.486007912,0.047537555,0.313747861,0.751093364,0.361285415,0.161627686,0.038030044,1.178931356,0.218672751,0.133105153,0.085567598,0.142612664,0.190150219,0.076060087,0.361285415,0.494390569,1.872979654,7.348992313,7.94187442,7.700628347,7.657955151,8.896510166,7.84046834,8.516504322,8.405818195,8.688536468,8.482567833,8.540395745,7.464613994,7.67788501,7.415361801,7.486007912,8.395828711,9.394941203,9.394941203,13.36143776,13.42578212,14.1917018,14.1917018,14.70157533,19.39671622,13.20767695,14.39671622,19.48236077,12.36143776,10.46549811,15.91790548,14.48236077,13.10428223
WESTERN ISLANDS,singapore_034,0,49,10,0,10,0,10,0,10,0,0,0,0,0,10,0,0,0,0,0,10,0,10,0,10,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0000b2bfdf5c49e8dcf9,0,0.108362356,0.117214956,0.110915588,0.104997805,0.109973874,0.11126073,0.111343258,0.112465045,0.117362797,0.104412329,0.113408699,0.129419657,0.121001159,0.110870307,0.113535691,0.118594481,3.192580164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1524.847703,1623.444686,1965.750171,1733.535146,2058.147277,1855.363384,1991.008947,2177.74757,2217.851363,2125.734051,2064.815632,2290.581309,2170.504673,2381.100409,1923.753469,1964.577013,101.0619644,3.155489427,1.556235488,2.594474982,4.157697033,0.327367962,0.720209515,0,0.065473592,0.087298123,0.414666085,0.392841554,0,0,0,0.087298123,0.109122654,0.152771715,2.204277608,0.436490615,2.728066347,5.802212147,4.119951124,4.772883787,3.785182348,1.092292441,4.225614835,3.381868832,3.381795902,4.58475123,2.105126906,1.427010994,3.155489427,1.556235488,2.594474982,4.157697033,8.29795697,9.341891159,9.341891159,13.52341349,13.94521786,14.19851745,14.29795697,14.01048635,21.82787923,13.37642379,14.40300127,20.28855541,12.50316398,11.13089857,16.3749774,14.47586332,13.333936
TAMPINES,singapore_035,259110,31,252280,237130,252530,233770,249300,229700,249430,228380,250850,228240,252590,228510,254200,229450,256760,231720,261340,235790,261740,236000,260850,235490,259990,234980,259470,233800,258810,232300,261230,231850,259110,228240,47,434.2,427.6,427.2,414.2,425.1,435.9,418.6,418.7,422,419,421.2,429.7,0000ea8cd657e515e636,0,0.136136169,0.121847801,0.147134071,0.141018611,0.129946258,0.123668324,0.138677508,0.129428937,0.129668233,0.129409655,0.118552326,0.129387394,0.127331681,0.105478538,0.116579028,0.138293282,3.665794718,22.60383439,22.40482849,22.47876338,22.55052436,21.40662006,22.05396548,21.43729517,21.37031899,21.52391304,20.43790693,21.62468965,3940.141433,3755.623246,3984.064551,3959.153976,4100.270932,3864.898619,4066.889233,3890.471988,4084.560976,4148.831546,3633.756941,3792.584647,3753.43233,3405.476044,3573.852242,3878.063405,55.84985907,18.23736041,17.72892009,19.54573438,17.87353315,0,0.305877212,0.043696745,0.109241861,2.337775836,0.502512563,0.065545117,0.021848372,0.087393489,0.305877212,0.240332095,0.065545117,0.677299541,3.015075377,6.510814944,16.21149224,18.69809614,18.67515182,18.36284336,17.29898212,17.42111645,17.60311761,17.45553081,17.53362911,17.26799628,16.83175153,17.83331228,18.23736041,17.72892009,19.54573438,17.87353315,,,,,,,,,,,,,,,,,
SELETAR,singapore_036,250,24,440,0,440,0,380,0,410,0,440,0,470,0,490,0,520,0,300,0,330,0,310,0,300,0,300,0,300,0,270,0,250,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0000e694fb34a22bb794,0,0.123586655,0.133137,0.128683508,0.122959385,0.131480799,0.139258521,0.141710335,0.149030709,0.11647475,0.13875934,0.130720519,0.150106442,0.147002372,0.140998417,0.137016247,0.134774153,3.668206039,16.61840266,12.89238836,23.71359138,11.89626095,17.57919956,12.18619261,12.07606928,12.47730559,20.72099093,14.40541809,15.90616851,4323.649178,4321.425299,4792.594517,4091.602888,4759.019368,3819.368137,4031.534698,3509.751317,3551.263989,3535.9844,3630.048637,3605.494818,4131.283342,4079.290555,3317.204831,4011.792671,34.13289129,14.06649098,14.30539659,12.46757996,13.72596998,0.036549708,1.206140351,0.091374269,0.054824561,0.292397661,0.310672515,7.182017544,0.511695906,6.725146199,1.736111111,1.023391813,1.498538012,0.310672515,3.234649123,0.420321637,1.790935673,13.1168473,13.13655033,13.65493085,12.53637467,12.96551698,13.19096946,13.48819975,13.63900466,13.17023122,13.91226436,12.5741823,14.06649098,14.30539659,12.46757996,13.72596998,9,9.834224599,10,13,13.38265003,13.38265003,14,14.53594771,19.1580511,13,14,19.97860963,12,10,15.38265003,14.23351159,12.38265003
SUNGEI KADUT,singapore_037,860,30,900,0,920,0,840,0,800,0,800,0,810,0,850,0,830,0,860,0,880,0,860,0,880,0,870,0,760,0,850,0,860,0,46,0,0,0,0,0,0,0,0,0,0,0,0,00001af79464a5249c09,0,0.121438733,0.131766529,0.132329801,0.117033778,0.12644512,0.131976944,0.118368941,0.123200702,0.12279153,0.116653178,0.119449544,0.131678097,0.113540607,0.121711516,0.124233229,0.125176791,3.432364213,18.86312128,20.26213324,24.68117715,18.00351205,24.63256908,24.48986018,21.7165549,23.83402018,23.69906832,22.24826398,21.87783396,3768.01788,3747.268723,3911.065174,3829.718771,3984.982639,4044.827048,3873.081285,3818.57037,3833.446154,4256.756529,4049.80714,3848.637774,3635.094368,3905.596266,3324.636657,3872.785535,30.531606,15.00427227,13.86969887,12.9393828,13.98339056,0,2.042051127,1.406746332,0.499168053,0.272273484,0.544546967,0.378157616,0.030252609,1.89078808,0.499168053,0.22689457,0.347905007,0.166389351,1.376493723,1.300862199,6.821963394,13.21049205,13.09561892,14.83406801,13.90958806,14.59110355,14.17562246,14.21874863,14.96041808,14.31047782,15.5193453,14.87698963,15.00427227,13.86969887,12.9393828,13.98339056,8.614670791,9.614670791,9.6878038,13.59434379,13.74414494,14.4007954,14.53800265,15.07954043,20.24834291,13.53800265,14.61467079,19.80225365,12.53800265,10.74414494,16.28789218,14.78811312,13.48166151
BUKIT BATOK,singapore_038,138040,9,126840,108810,129260,109250,130100,107960,132680,107860,135420,108710,138230,109620,140400,111100,141450,112330,144290,114770,144200,114360,143380,113210,142620,112270,142310,111650,141560,110680,139270,108240,138040,106450,5,361.1,356.9,357.8,352.9,365.4,372.1,361.8,361.9,362.2,364.1,373.3,376.1,0000bb67a4d80bd3def5,0,0.133843458,0.127065132,0.134454003,0.121556468,0.138395183,0.144778526,0.138051096,0.136259236,0.13965875,0.13148238,0.130828571,0.14702022,0.140156657,0.134100733,0.154223686,0.13173326,3.444149876,23.83074087,15.09130113,16.20594974,18.64869533,18.52943861,21.21974919,15.68032633,14.15906761,22.4404809,14.13523249,18.39592884,4492.25403,4405.105122,4964.489219,4536.921035,4985.544546,5046.626785,5180.82037,4975.37277,4649.329215,4887.451258,4663.149262,4088.60304,4438.855703,4392.088017,3378.515447,4665.307547,46.74805272,16.36565433,15.59596405,15.06406268,15.78480551,0.016199579,0.777579783,0.161995788,0.939575571,0.647983152,0.226794103,0.048598736,0.048598736,2.024947351,0.016199579,0.323991576,0.307791997,0.210594525,2.948323344,2.154543982,0.712781468,15.19047064,14.64869302,15.30107136,13.93241568,15.53521286,15.14462716,15.46690201,16.30855333,15.93032478,16.24302468,15.76933528,16.36565433,15.59596405,15.06406268,15.78480551,8,9,9,13,13,14,14,14,20.01261388,13,14,19.93167484,12,10,16,14,13
MUSEUM,singapore_039,400,39,100,0,90,0,60,0,50,0,60,0,90,0,210,0,250,0,300,0,350,0,350,0,350,0,350,0,360,0,380,0,400,0,25,0,0,0,0,0,0,0,0,0,0,0,0,00004361e8830c76a630,0,0.100062278,0.122795756,0.101352682,0.1298,NA,0.130931818,0.111619102,0.120182991,0.137459184,0.123431122,0.1055,0.131758608,0.125222222,NA,0.100454092,0.115992022,3.852310231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3309.803849,3634.039819,3550.055101,3202.988808,3607.793977,3476.110202,3573.767565,3359.337279,3105.375463,3338.809103,3093.698666,3502.504207,3001.478046,3331.19845,2285.185149,3349.883235,105.1892265,18.10354564,16.64540167,17.57488631,14.77815902,0,0.810810811,0,0.27027027,0.27027027,0.27027027,0,0,0,0.540540541,0,0,0,0,0,0,16.68857605,17.22613148,16.86882096,16.85846004,17.22757212,16.75552322,17.27567138,17.22093436,16.67984348,17.81089368,16.98933159,18.10354564,16.64540167,17.57488631,14.77815902,,,,,,,,,,,,,,,,,
RIVER VALLEY,singapore_040,9340,54,9370,0,9440,0,8950,0,9200,0,9330,0,9510,0,8900,0,8390,0,7980,0,8210,0,8380,0,8590,0,8930,0,9110,0,9190,0,9340,0,36,0,0,0,0,0,0,0,0,0,0,0,0,000005e08468d22e8fb6,0,0.106241861,0.124046658,0.117720396,0.113644621,0.134965432,0,0.111647652,0.103434783,0.106357143,0.106844538,0.1055,0.122591105,NA,NA,0.112300942,0.117218105,3.704015544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3591.19216,3918.742622,4035.536157,3410.615679,3806.955959,3685.502816,3925.066682,3549.96328,3484.756477,3606.188556,3282.395359,3703.988624,3320.998536,3594.503604,2391.102073,3621.214834,82.63641638,18.94361962,17.15137941,17.46121575,14.5818254,0,0,0,0,0,0.592885375,0.197628458,0,0,0,0.592885375,0.197628458,0,0.395256917,2.56916996,0,17.25735736,17.30445444,17.14500077,16.64714825,17.38406512,16.62996923,17.14023521,15.916582,17.01796178,17.46975076,17.48769455,18.94361962,17.15137941,17.46121575,14.5818254,,,,,,,,,,,,,,,,,
CHANGI BAY,singapore_041,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0000419b7de45cd19b7d,0,0.051313493,0.054776296,0.048264685,0.052616013,0.057466108,0.054618252,0.046382378,0.044821314,0.062643838,0.053901904,0.059015965,0.053173681,0.057241563,0.055531864,0.042851452,0.053386599,3.364783227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,708.8417055,1387.136005,1641.087347,2324.231837,2465.922037,2146.284236,2697.632334,2743.080276,2355.609986,3873.569407,3253.764242,3360.58197,2098.612165,2473.069782,2600.093263,1954.235505,30.50624134,-18.29125462,-17.91815612,-17.62614827,-17.88758866,0,0,0,0,0,0,0,0,0,0,0,0,26.41509434,15.09433962,24.52830189,28.30188679,-17.72627495,-17.50376691,-18.10228438,-17.57724169,-17.52398726,-17.58143423,-17.64397773,-18.10506879,-17.35559096,-17.91642291,-17.38752118,-18.29125462,-17.91815612,-17.62614827,-17.88758866,8,9,9,11,12,12,12,13,16,12,12.81395349,18,10.81395349,9,14,12.81395349,11
SOUTHERN ISLANDS,singapore_042,1600,47,0,0,0,0,0,0,0,0,0,0,0,0,80,0,220,0,380,0,640,0,880,0,1080,0,1300,0,1400,0,1480,0,1600,0,44,0,0,0,0,0,0,0,0,0,0,0,0,000047638200edf29e07,0,0.090393023,0.086128742,0.087593412,0.085235544,0.088218015,0.089832991,0.093646142,0.088890772,0.076257302,0.082535961,0.083704324,0.077748499,0.088877774,0.077261101,0.082499011,0.086877147,3.301351584,23.65446046,24.26686754,23.78182586,23.72089435,22.85591913,23.29067358,22.61064992,22.55938838,22.45524893,21.41144402,22.8924022,3080.749244,3206.761744,3628.521811,3270.592279,3561.271848,3371.155043,3365.967019,3464.905441,3498.196955,3533.374359,3453.017612,4170.223839,3987.482694,4140.293082,2802.618929,3513.281709,30.65512362,-0.776293462,-0.979837994,-0.53937393,-0.963854966,0.163889648,0.027314941,0,0.136574706,0.245834471,2.349084949,2.704179186,0.245834471,0.491668943,0.464354002,0.027314941,0.382409178,0,0.054629883,0.054629883,4.097241191,0.123143937,2.766537318,-0.442164292,-1.596659798,-1.119365915,0.041560448,-0.199486793,-0.737203164,-0.44915181,-0.149597957,-0.410206632,-0.776293462,-0.979837994,-0.53937393,-0.963854966,8,9,10,13,13.5,13,14,13,21,13,14,20,12,10,16,14,12.5
